"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","FC","FC_round"
"A1CF","A1CF",0.313139897199777,0.543827635516738,4.55978198859197,5.40588110431279e-06,3.8279178872298e-05,3.12460779139077,1.24240875151197,1.24
"RAB17","RAB17",0.311994854337246,1.01575948308955,8.04549488162897,1.39956323833057e-15,3.49890809582642e-14,24.5510583389989,1.24142306373255,1.24
"ALB","ALB",0.309686742197033,1.23973919765763,2.39992258242883,0.0164823822843452,0.0460666782325631,-4.30512830308592,1.23943854676336,1.24
"MACROD1","MACROD1",0.309288394647706,0.0910723284569023,6.47375486199087,1.17860472511052e-10,1.88006759972778e-09,13.4761616783455,1.23909636831432,1.24
"NEDD4L","NEDD4L",0.308989533946242,0.958792503776636,7.87301631406843,5.42174429541496e-15,1.31368093413787e-13,23.2246429279358,1.23883971056924,1.24
"PLPPR1","PLPPR1",0.306745635497374,0.634590552004534,4.85926454551363,1.26256271300877e-06,1.03609179297871e-05,4.51312255777527,1.23691437656637,1.24
"PTH1R","PTH1R",0.306518921477842,1.94195415343307,4.00074556413232,6.52608477711113e-05,0.000366442706457777,0.764826568250561,1.23672001546481,1.24
"PNP","PNP",0.303511201098785,1.84396016413781,6.01712691399173,2.0785054556172e-09,2.75651339606821e-08,10.6901699297084,1.23414439610583,1.23
"PC","PC",0.301686592790321,0.211034630080599,5.27371425834572,1.46967579834963e-07,1.45192609064009e-06,6.57698975697468,1.23258453301235,1.23
"MAOA","MAOA",0.301546439912604,1.49742156625549,5.67008741568611,1.61767753398299e-08,1.86690212020046e-07,8.70462064175326,1.23246479746626,1.23
"COLEC11","COLEC11",0.299451034312061,0.353696868179273,4.90560092712038,1.00064822948612e-06,8.43497786190893e-06,4.73567591363001,1.23067603475441,1.23
"WFDC1","WFDC1",0.295454341333676,-0.160380156103801,7.61569135226179,3.88965679003608e-14,8.70278789455556e-13,21.2962373285156,1.22727141536014,1.23
"HADH","HADH",0.295073192250606,1.97023575295889,6.14388730920979,9.55331275505824e-10,1.34549067383568e-08,11.4438540648441,1.22694722239092,1.23
"HAGH","HAGH",0.293897123803504,1.23079207404183,6.05980553940879,1.60253819461472e-09,2.16745410581158e-08,10.942230354142,1.22594743665275,1.23
"AMT","AMT",0.29231388942249,0.795756968670981,7.67015078172296,2.57614713422488e-14,5.84059965575376e-13,21.6993001934045,1.22460280216966,1.22
"PEBP1","PEBP1",0.290792077430587,3.08195572491695,7.2935067589454,4.21302114217845e-13,8.7914573834234e-12,18.9674883403141,1.22331172358775,1.22
"SDC1","SDC1",0.290722312637906,1.09742367465307,5.48096248453967,4.72140630686654e-08,5.01833466608216e-07,7.67074833207672,1.22325256900352,1.22
