"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","FC","FC_round"
"CSTA","CSTA",1.13962938562999,-0.508704497760554,27.618175429242,3.97264223315103e-144,1.50445432718405e-141,318.530829977431,2.20324416698058,2.2
"SELL","SELL",1.13042601187615,-0.264109137908422,25.5062683383601,1.0064560690132e-125,1.37213510742133e-123,276.278197340258,2.18923376358255,2.19
"EVI2A","EVI2A",1.12538089642968,-0.257738884722494,29.0370963018907,6.96161287761629e-157,8.89781145920332e-154,347.820933246859,2.18159136713577,2.18
"POU2AF1","POU2AF1",1.12102497067175,-0.490355424786418,20.9960832589009,2.9924602620819e-89,1.45704315141845e-87,192.567557787229,2.17501442729651,2.18
"IL10RA","IL10RA",1.09271166060191,-0.27053991041209,28.0964018772726,2.15075563761972e-148,1.09957381973308e-145,328.326952575866,2.13274526509663,2.13
"RAC2","RAC2",1.09136036696113,0.0485064517416751,25.6965040192261,2.37710748340762e-127,3.42336957997787e-125,280.012736815816,2.13074857434486,2.13
"IL7R","IL7R",1.0875017522569,-0.197187112276173,21.4404659930744,1.1954509127372e-92,6.08133611081488e-91,200.365249030966,2.1250573142637,2.13
"GBP2","GBP2",1.07612357175471,0.448719920674177,26.0077213658344,5.02350412222492e-130,8.42054584422128e-128,286.153986603197,2.10836342737187,2.11
"IRF8","IRF8",1.07251237162352,0.333488815653241,26.2623145811305,3.16373486810856e-132,6.10362057102077e-130,291.206617374552,2.10309259667832,2.1
"LCP2","LCP2",1.06596757931261,-0.166439233259265,29.5820750603665,7.38091981113783e-162,1.88674762672211e-158,359.243687134377,2.09357351599153,2.09
"RARRES3","RARRES3",1.06518224618261,1.83238437475842,19.1793256177952,7.39134819095554e-76,2.94072121605138e-74,161.845556737638,2.09243418634918,2.09
"HLA-DMB","HLA-DMB",1.05782416302811,1.33926580841684,24.4923286234249,3.64525633121764e-117,3.88257770694796e-115,256.630405797524,2.08178944953072,2.08
"HLA-DMA","HLA-DMA",1.05765299871692,1.31040754636271,24.2996278426202,1.46707161965085e-115,1.38896363990093e-113,252.946836617312,2.08154247639353,2.08
"GZMB","GZMB",1.05431336105648,-0.520947899267574,26.6315311141508,1.9455512091035e-135,4.23260874746453e-133,298.57898816968,2.07672956883865,2.08
"C3","C3",1.05147715713379,0.832039777204396,13.9753343422112,1.45957338899807e-42,2.72338282892431e-41,85.5515364879512,2.07265092258884,2.07
"CSF2RB","CSF2RB",1.04870537964571,-0.37781135317679,27.8682733629179,2.35576460237217e-146,1.04729100257632e-143,323.644008639278,2.06867266535648,2.07
"HLA-B","HLA-B",1.02114130414004,2.65916327944807,20.0192050970186,6.02653223658655e-82,2.56755383829573e-80,175.811046712869,2.02952386426195,2.03
"LTF","LTF",0.983753703560107,0.554408355703885,10.0460918495376,3.05368951326759e-23,2.44319055345548e-22,41.4189746582798,1.97760418798152,1.98
"CORO1A","CORO1A",0.979431519786284,-0.338281655412299,25.7463917358594,8.87944646165534e-128,1.31583101551342e-125,280.99453722076,1.97168833092502,1.97
"MMP7","MMP7",0.97897361917839,1.91665867183223,12.68078816622,1.3416386752518e-35,1.92943114689868e-34,69.6247218284972,1.97106263110768,1.97
"TRIM22","TRIM22",0.977848943716089,0.86163739141099,23.2595491801866,5.02059638743866e-107,3.56497208760835e-105,233.358056920679,1.9695266572083,1.97
"ARHGDIB","ARHGDIB",0.97757835105506,1.43547115886229,23.3634802177631,7.20822579234883e-108,5.2272417536714e-106,235.292719234781,1.96915728636557,1.97
"LST1","LST1",0.974798948688709,-0.169289545598972,26.3680456806238,3.82799745788814e-133,7.6747596091973e-131,293.312426441592,1.96536728805673,1.97
"IRF1","IRF1",0.973159254639713,0.258313299485046,22.1424556877505,4.13108197716914e-98,2.35979403444438e-96,212.897545762233,1.96313482012266,1.96
"IFI16","IFI16",0.972150882238265,0.742753139749466,24.4710189819139,5.48955557096752e-117,5.78667069207659e-115,256.222249481639,1.96176316549923,1.96
"CD69","CD69",0.967869846505986,-0.541856031767788,26.6906648100432,5.92426606012989e-136,1.37671864692791e-133,299.764607133378,1.95595048183054,1.96
"ITGB2","ITGB2",0.966176209474983,0.190179376718461,23.9505319704031,1.13529526115386e-112,9.75495297924223e-111,246.316244781062,1.95365566109843,1.95
"AIF1","AIF1",0.957311308853445,0.87090412225389,22.630208395349,5.70803417660248e-102,3.53725148216729e-100,221.754833199488,1.94168787728951,1.94
"TIMP1","TIMP1",0.955243982043199,1.92523411795142,15.6308320748098,2.86125698434241e-52,6.99912743179452e-51,107.77749022852,1.93890750539032,1.94
"S100A8","S100A8",0.946653619759542,0.229700089263406,13.737589841629,3.05724023070652e-41,5.42713218037746e-40,82.5286629053404,1.92739680643218,1.93
"ISG20","ISG20",0.942803912063483,-0.249910387345247,24.7086154170713,5.65073246937758e-119,6.34931203289953e-117,260.784399829316,1.92226056959284,1.92
"NNMT","NNMT",0.942359050032695,0.625289334635493,12.8954610262091,1.02870359401886e-36,1.55829544427301e-35,72.1745928310805,1.92166792257694,1.92
"LTB","LTB",0.929961362892061,-0.164900276701291,20.7570243321645,1.92714325950159e-87,8.95683628563808e-86,188.417413888707,1.90522497118899,1.91
"IGSF6","IGSF6",0.927306305236518,-0.523185150142591,24.8599559590267,3.02413172538728e-120,3.59555196419592e-118,263.703192510239,1.9017219229507,1.9
"PSMB10","PSMB10",0.920400895772907,0.547125143240795,23.68555756505,1.70424647574635e-110,1.36140001675832e-108,241.320676872659,1.89264114708128,1.89
"RGS10","RGS10",0.919248158738112,0.239005560792974,23.9994363103697,4.48630349065332e-113,3.95452182689053e-111,247.241776664701,1.89112949971297,1.89
"VSIG4","VSIG4",0.915031386166325,0.0620756190354391,19.8213252610462,1.70148059735781e-80,7.0435785862282e-79,172.483207446479,1.88561009327662,1.89
"PSMB8","PSMB8",0.913315840744511,0.543297724918982,22.7301793700422,9.09950052055889e-103,5.7790306101065e-101,223.585009929731,1.88336919890031,1.88
"CASP1","CASP1",0.912153033237221,-0.0826927293353288,25.8854652834169,5.67370317638112e-129,9.35703467395111e-127,283.736856868724,1.88185182103892,1.88
"FCN1","FCN1",0.912092370971,-0.426414632987699,23.4864930955747,7.19875189166971e-109,5.49307746957633e-107,237.589234329064,1.88177269482519,1.88
"ARPC1B","ARPC1B",0.908073142020722,0.805876345657921,20.9678904037057,4.89853045638973e-89,2.3405361643264e-87,192.076479944419,1.87653752763731,1.88
"SLAMF8","SLAMF8",0.894342198727831,-0.51482160100194,26.9915022565501,1.3696062429905e-138,3.50105595864448e-136,305.816749183547,1.8587621836104,1.86
"PTPRC","PTPRC",0.889463416622393,-0.317479848492985,28.3343684000749,1.57361168255943e-150,9.4648114436295e-148,333.230728911107,1.85248699782037,1.85
"MNDA","MNDA",0.887166954859699,-0.34686104898492,24.8132603924138,7.47099165778792e-120,8.58324603380691e-118,262.801550080774,1.84954058061429,1.85
"GPR65","GPR65",0.883593247070821,-0.355426148865654,28.326038871658,1.86978987785041e-150,1.06214452783447e-147,333.058760622406,1.84496474326593,1.84
"GPR171","GPR171",0.882532177131173,-0.640559456894175,27.2402383270295,8.8322663139832e-141,2.58028351601366e-138,310.846111321481,1.84360831182976,1.84
"CCL18","CCL18",0.866294200111539,-0.598700957612232,16.9356853469414,1.60192213440723e-60,4.76152727450986e-59,126.684584655514,1.82297427153762,1.82
"AIM2","AIM2",0.855845865358861,-0.648236804359492,30.7532574952878,1.11727998592632e-172,5.71209392804832e-169,384.089360648992,1.80981955794915,1.81
"MCUB","MCUB",0.855442770093271,-0.140574719749803,23.8270460613406,1.17798319759719e-111,9.79258389872465e-110,243.984121050156,1.80931395713448,1.81
"NKG7","NKG7",0.853072601494156,-0.520162491941065,25.8149741452429,2.28953435852237e-128,3.60161366398326e-126,282.345901756529,1.80634391960257,1.81
"IL2RB","IL2RB",0.850676425748487,-0.415703528728575,28.7994557873873,9.98316124476561e-155,1.02077823727728e-151,342.869088605035,1.80334624864751,1.8
"ITK","ITK",0.849077887792868,-0.526171514704224,26.6328083207187,1.89624766445088e-135,4.21502877587178e-133,298.604581858902,1.80134920777861,1.8
"HLA-DPB1","HLA-DPB1",0.844508738129614,0.510112685274995,21.9662817284414,9.93540608774409e-97,5.55134028673133e-95,209.72818682368,1.79565319160807,1.8
"VCAN","VCAN",0.83612076333825,0.208435132587573,13.9210382548078,2.93488014757859e-42,5.42660931446493e-41,84.857350309815,1.78524337364356,1.79
"SLA","SLA",0.836110754118996,-0.231402414451532,28.7375857645168,3.6261194636355e-154,2.85208242428253e-151,341.582836858783,1.78523098791417,1.79
"GPR18","GPR18",0.834905819864109,-0.724816076983932,27.5755700152507,9.49509018802993e-144,3.46740347045022e-141,317.661967381291,1.78374059121267,1.78
"WARS","WARS",0.832396337054837,1.12972597053007,21.0726606826726,7.82900386042416e-90,3.84863290734794e-88,193.90362386031,1.7806405767405,1.78
"C3AR1","C3AR1",0.830332516425437,-0.0151959344972312,23.7404914176254,6.04617963059227e-111,4.94577493782448e-109,242.353672041083,1.77809513549449,1.78
"CD74","CD74",0.826129306112828,1.79569307958348,17.4589631710045,5.67482370284535e-64,1.7583355261089e-62,134.59381622723,1.77292229504531,1.77
"BCL2A1","BCL2A1",0.825397451729161,-0.601587732130742,23.1023539457557,9.36281934078474e-106,6.42515622547141e-104,230.441741448718,1.77202315013431,1.77
"LY86","LY86",0.823217230759492,-0.182981550789191,24.8197302844613,6.5914578837901e-120,7.65882464338111e-118,262.926420613564,1.7693472663352,1.77
"IFITM1","IFITM1",0.815327271452243,1.92188613583513,16.5001815916235,1.03648073287586e-57,2.91154271803727e-56,120.242923183138,1.75969728912296,1.76
"KLRB1","KLRB1",0.811604008015488,-0.221181287921832,19.2075444024493,4.64636176696427e-76,1.85582222918788e-74,162.307943633427,1.75516177101639,1.76
"TMSB10","TMSB10",0.809781582569379,3.40862914422302,17.7993482430964,2.93262019829269e-66,9.54969475399451e-65,139.835882440694,1.75294603452975,1.75
"RASSF2","RASSF2",0.808438725537814,-0.297024071401824,24.827227969531,5.70077006771719e-120,6.70004298188601e-118,263.071150479309,1.75131515575541,1.75
"UBE2L6","UBE2L6",0.806660781699438,0.68546231228783,23.3855892983271,4.76678557627021e-108,3.48145589409735e-106,235.704941698367,1.74915820502115,1.75
"ARHGAP15","ARHGAP15",0.806610215464772,-0.00481416681065781,21.7697617455472,3.38508256531202e-95,1.83134757832357e-93,206.211819255753,1.7490968983751,1.75
"HLA-E","HLA-E",0.806216783341044,2.17790247210739,22.9817370740375,8.76738417028443e-105,5.85924857131753e-103,228.212142355315,1.74861997354706,1.75
"TGFBI","TGFBI",0.804154070995889,1.16576890409392,15.8881780945929,7.41118872614182e-54,1.89448511812e-52,111.41206924017,1.74612164741009,1.75
"PYCARD","PYCARD",0.804025790045768,-0.376844755426352,24.8866092377906,1.80395103916454e-120,2.17004698534794e-118,264.21826164107,1.74596639340325,1.75
"GIMAP4","GIMAP4",0.802720079694119,0.845978148088017,24.4702370198358,5.57263080471568e-117,5.81430101818549e-115,256.207275920831,1.74438692233867,1.74
"CD14","CD14",0.800482232798998,0.634090257875551,17.0499575017232,2.86981796058887e-61,8.68162386006544e-60,128.396146361721,1.7416832013799,1.74
"BTN3A2","BTN3A2",0.799280233776046,0.122855063291345,24.3295391350574,8.27627570414672e-116,7.90887094157946e-114,253.517519358864,1.74023270104823,1.74
"HLA-C","HLA-C",0.798136724975156,2.2864506079105,17.5812932910679,8.62822582443528e-65,2.7313810852895e-63,136.469016693347,1.7388539044795,1.74
"SAMSN1","SAMSN1",0.789312092974648,-0.388078415897554,23.685646944857,1.70137734875236e-110,1.36140001675832e-108,241.322356458997,1.72825020044938,1.73
"RRM2","RRM2",0.788972843885613,-0.564259037637871,21.4126164270347,1.95827612720522e-92,9.86373073924797e-91,199.87343296452,1.72784385097151,1.73
"CST7","CST7",0.785724164291428,-0.295964410291899,26.772387137997,1.14291965528243e-136,2.71775662215415e-134,301.405305041422,1.72395744692098,1.72
"CD247","CD247",0.78079044091491,-0.571038539788362,25.8037066209512,2.86096385097049e-128,4.43232657214747e-126,282.123752989284,1.71807193273351,1.72
"LILRB1","LILRB1",0.779432405398455,-0.170559853884778,27.8207134673525,6.25676953112435e-146,2.46059494060563e-143,322.669977709335,1.71645544079346,1.72
"MS4A4A","MS4A4A",0.778460337996766,-0.179358997637208,21.6307507428637,4.05713733557834e-94,2.10579843940551e-92,203.736702315848,1.71529930706449,1.72
"COL3A1","COL3A1",0.771505930878626,1.68300297696275,10.0725231662461,2.36283188374113e-23,1.89638587215487e-22,41.6727261146297,1.707050727607,1.71
"MARCH1","MARCH1",0.767979646471415,-0.502999989656895,27.8347380611417,4.69127586350818e-146,1.99867898768213e-143,322.957120944261,1.70288339106495,1.7
"CXCR4","CXCR4",0.762830687803153,-0.145395637614298,20.2527659815573,1.13519813389997e-83,5.02484888273906e-82,179.768131963746,1.69681665625576,1.7
"UCP2","UCP2",0.761654894690866,0.340392454527007,15.8689462912375,9.75360742807422e-54,2.48086159084724e-52,111.138825342061,1.69543431799409,1.7
"MAFB","MAFB",0.761255004165872,0.712471961873926,21.9359133798409,1.71615238858416e-96,9.48522063420163e-95,209.18348513902,1.69496443756503,1.69
"CD38","CD38",0.759971921101561,-0.560556492815719,23.0021035512305,6.01244633345039e-105,4.04455682628488e-103,228.588119372223,1.69345766496074,1.69
"IL2RG","IL2RG",0.755968918907932,-0.289696534994649,19.9887717713516,1.00886299342274e-81,4.26265458997831e-80,175.297752285494,1.68876539208021,1.69
"BIRC3","BIRC3",0.753009615726528,0.0241454434240191,18.6729924059929,2.8213392144076e-72,1.03029262383278e-70,153.631551764714,1.68530489171765,1.69
"F13A1","F13A1",0.751542124436233,1.05838981095864,14.5403708696463,8.90877604855389e-46,1.8254956933159e-44,92.908571507238,1.68359149230368,1.68
"DOCK10","DOCK10",0.749001380716961,-0.00220474681327135,20.7194456339432,3.69838302596531e-87,1.71112970318983e-85,187.767916760385,1.6806291128952,1.68
"LAMP3","LAMP3",0.747228858966,-0.513945346636894,21.6224088320197,4.70768929173622e-94,2.43111732363651e-92,203.588497567048,1.67856552889077,1.68
"AOAH","AOAH",0.744208074735629,-0.50274882008317,28.4907075410419,6.1561414949543e-152,4.19643645239385e-149,336.46273200847,1.67505454471024,1.68
"HCP5","HCP5",0.743295650970896,0.313064670201812,22.591736196809,1.15559202729919e-101,7.11802920429772e-100,221.051845862486,1.6739955015088,1.67
"SASH3","SASH3",0.743272775411921,-0.566143799681189,25.8775616773176,6.63502197905416e-129,1.06004843337233e-126,283.580800601575,1.67396895863027,1.67
"ITGAL","ITGAL",0.739032596716786,-0.574529654351468,26.0794374143438,1.20834089877636e-130,2.09411621864209e-128,287.574662775715,1.66905627308022,1.67
"HCK","HCK",0.739012889792896,-0.367540363757299,23.8942904857166,3.2978890243521e-112,2.81007627283336e-110,245.253211444548,1.66903347426317,1.67
"GPR183","GPR183",0.735237295499457,-0.41310160831743,22.4107780451356,3.15711175010905e-100,1.86598078872052e-98,217.755221307803,1.66467125321002,1.66
"MYO1F","MYO1F",0.733252073357978,-0.429830056429714,27.1791300740044,3.05591890078057e-140,8.44507317850847e-138,309.608419825641,1.66238215576948,1.66
"RARRES1","RARRES1",0.733029236836556,0.157083190027615,14.256403987476,3.78707968870402e-44,7.38986446889287e-43,89.1810037046491,1.66212540653344,1.66
"LCK","LCK",0.732905176803774,-0.625485032623412,27.4912830016157,5.31262082371067e-143,1.81071826408139e-140,315.944980529423,1.66198248342015,1.66
"HLA-DOB","HLA-DOB",0.732893918655774,-0.550164745569565,25.1072190179978,2.47732537873409e-122,3.16633149969451e-120,268.4932040921,1.66196951410146,1.66
"TLR2","TLR2",0.732356948615408,-0.440129849269175,27.9641668048702,3.27914510822413e-147,1.52405721507235e-144,325.610296649378,1.66135104536628,1.66
"SLAMF7","SLAMF7",0.731856045272971,-0.502172782625968,23.2813205732635,3.34476099427108e-107,2.39162106058894e-105,233.762900745804,1.66077432484044,1.66
"BIN2","BIN2",0.731619772367527,-0.453344060508576,30.7119403961084,2.70851173605996e-172,9.2315108337377e-169,383.206266974623,1.66050235894749,1.66
"IFI44L","IFI44L",0.729833915180472,0.291525534920266,12.2357055103032,2.45017315379682e-33,3.17126841741423e-32,64.4560222009055,1.6584481580563,1.66
"S100A9","S100A9",0.727246099559978,0.14333816715163,14.5150028294604,1.24842554400878e-45,2.53780341699598e-44,92.5731070878759,1.65547600449282,1.66
"CLEC10A","CLEC10A",0.719802440640869,-0.590299009851032,23.8616818446277,6.1159888918188e-112,5.1682633404006e-110,244.637534602148,1.64695648863804,1.65
"NCF2","NCF2",0.71829755572165,-0.549910503459007,24.6403010128246,2.11173105613844e-118,2.34700544011039e-116,259.470137544593,1.64523943291807,1.65
"MTHFD2","MTHFD2",0.711717212562259,0.164534468072532,18.4537848092112,9.54549153791523e-71,3.36560865431666e-69,150.12464829538,1.6377523429892,1.64
"TNFAIP8","TNFAIP8",0.711701325524728,0.204027039985814,22.8015214197981,2.4468532039089e-103,1.57352666729361e-101,224.89410500951,1.63773430806918,1.64
"MMP9","MMP9",0.708650215088264,-0.532894306333224,14.0565266254275,5.11411399261856e-43,9.63016861409296e-42,86.5938003783868,1.63427437515278,1.63
"LYN","LYN",0.707941150039325,0.218376549470071,22.8516103310271,9.71572482924576e-104,6.36815938327166e-102,225.81471566197,1.63347134881341,1.63
"CSF1R","CSF1R",0.702955356240478,0.24893989364986,20.1091818093759,1.30961729155814e-82,5.65014211231309e-81,177.331747600445,1.62783599647136,1.63
"CCL8","CCL8",0.69862135022034,-0.241064622007888,13.6271612778017,1.23755979135767e-40,2.18173256321245e-39,81.1393945856501,1.62295314572413,1.62
"PLA2G7","PLA2G7",0.693825472667842,-0.7274914830614,20.9003636402873,1.59203193468129e-88,7.50162513000746e-87,190.902042244955,1.61756700274644,1.62
