"","Row","d.value","stdev","rawp","q.value","R.fold","logFC","FC_round"
"PRKCH",3857,10.584529042874,0.0220009882596338,0,0,1.17517051086937,0.232870099206024,1.18
"NOD2",583,10.5322645073939,0.0196664150129371,0,0,1.1543909420306,0.207131884828438,1.15
"APOL6",9255,10.5056802036471,0.0162695265694088,0,0,1.12577806462299,0.170922443202949,1.13
"MNDA",7529,10.4875944922255,0.0307089159735415,0,0,1.25011659551295,0.32206265802633,1.25
"CLEC7A",3874,10.4729731542646,0.0220429665534396,0,0,1.17353054801917,0.230855396954524,1.17
"FCER1G",6771,10.4606066514723,0.0545392137629739,0,0,1.48505180802367,0.570513262255033,1.49
"MS4A6A",7806,10.4308583660492,0.0471394917671483,0,0,1.40610600514372,0.491705362070666,1.41
"LAT2",5628,10.4192248775918,0.0200472281293883,0,0,1.15578782516806,0.208876578052481,1.16
"NCF2",4286,10.4177887324942,0.0271415580337824,0,0,1.21651576582631,0.282755017466675,1.22
"CDH13",5801,10.3986866544559,0.0430325095472189,0,0,1.36365773078887,0.447481582736413,1.36
"TNFRSF1B",9775,10.3804067687592,0.0271960263926393,0,0,1.21613704749763,0.282305816449505,1.22
"SLAMF8",8770,10.376932760488,0.0287963074135845,0,0,1.230135592029,0.298817345781109,1.23
"PRKCB",3259,10.3510561583275,0.0179775699953658,0,0,1.137673703021,0.186086836612297,1.14
"UBE2L6",4576,10.3479300780212,0.0324607784832185,0,0,1.26216617502088,0.335901866022479,1.26
"C1QB",1019,10.3428365416884,0.0623390057958875,0,0,1.56348149841818,0.644762147118231,1.56
"TLR7",3357,10.3031096046228,0.0203563519989984,0,0,1.15647471689008,0.209733725795962,1.16
"CD1C",669,10.2866002716853,0.0320300816780893,0,0,1.25656094605128,0.329480646891936,1.26
"LILRB2",8297,10.2832068507377,0.0294120763293088,0,0,1.23323732941559,0.302450464803967,1.23
"CLEC4A",7669,10.2763537185641,0.0221578907651714,0,0,1.17096854582829,0.227702323160206,1.17
"TM4SF1",228,10.2741734247004,0.0403569383010158,0,0,1.33296064203633,0.41463418299457,1.33
"LAPTM5",6271,10.2703264417873,0.0506486137321369,0,0,1.43413197867201,0.520177796853037,1.43
"SLAMF7",4796,10.2575175101273,0.0316632325165733,0,0,1.25247878091933,0.324786161965983,1.25
"GLIPR1",9618,10.2271561241788,0.0289511520122993,0,0,1.22781053314647,0.296087951604619,1.23
"PMAIP1",969,10.2102859037953,0.0270818498840909,0,0,1.21126407511196,0.276513430120233,1.21
"CELF2",6891,10.2087411447075,0.0227417489433905,0,0,1.17459599851508,0.232164628140998,1.17
"IGSF6",5334,10.2074820562023,0.0360845547667467,0,0,1.29085991356804,0.368332445287616,1.29
"S1PR1",8161,10.204807010907,0.030268406934673,0,0,1.23874844920478,0.308883251295938,1.24
"RARRES3",6445,10.1778971333531,0.0494396029469962,0,0,1.41734521768639,0.503191193108348,1.42
"ALOX5",6676,10.1702297310949,0.0219486839777917,0,0,1.1673386536422,0.223223158349343,1.17
"BCL2A1",9475,10.1698549054755,0.0375650293329119,0,0,1.30317505883582,0.382030897835646,1.3
"CD1D",8589,10.1594751723761,0.0237369221221591,0,0,1.18193825544205,0.2411546709687,1.18
"HLA-DQA1",209,10.1581271309002,0.080955484156427,0,0,1.76829147514464,0.822356100004564,1.77
"CD52",7262,10.1480379092315,0.0569016171839084,0,0,1.49219881559719,0.577439768278879,1.49
"ARPC1B",4329,10.1417394947345,0.0409784092646323,0,0,1.33384622444908,0.415592351670515,1.33
"FYB1",4141,10.1382377817966,0.0238413569036544,0,0,1.18239276375617,0.241709345329926,1.18
"INPP5D",242,10.1319899864198,0.0173198073944658,0,0,1.12934330706689,0.175484115087446,1.13
"CD55",6192,10.1295175214252,0.0244979215409453,0,0,1.18768489532362,0.248152125487506,1.19
"PLEKHO1",9450,10.1164417099116,0.0278544547333349,0,0,1.21570059900881,0.281787967671155,1.22
"JCHAIN",4011,10.0632006441703,0.104787231870394,0,0,2.07699096334184,1.05449493925898,2.08
"FAM49A",4216,10.0428254539526,0.0197865537708221,0,0,1.14767400572744,0.198712905855615,1.15
"EMP3",8230,10.0425028525629,0.0352262582185986,0,0,1.2778865839018,0.353759798645393,1.28
"IFI27",1213,10.0375449598551,0.0523369518826959,0,0,1.43926725413344,0.525334507584334,1.44
"CD3D",6022,10.027610624258,0.0481955853146914,0,0,1.39792461484447,0.483286563343931,1.4
"IER5",6843,9.98593961621432,0.0310818722080482,0,0,1.2400357372679,0.31038169902846,1.24
"IL2RG",8593,9.97127461075078,0.0337798266898956,0,0,1.26297661629826,0.336827928228517,1.26
"FCN3",3391,-9.94641578032772,0.0435047914104087,0,0,0.740865344924396,-0.432716743804355,0.74
