"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","FC","FC_round"
"RARRES3","RARRES3",0.503191193108337,1.83238437475842,8.83798264541264,1.97133984045214e-18,9.8326584724991e-17,31.0291570896234,1.41734521768637,1.42
"GNLY","GNLY",0.502107430842133,-0.796016970369374,16.20464672404,7.77911634625866e-56,2.65138215468316e-52,116.010034058671,1.41628089819076,1.42
"STAT1","STAT1",0.498806214535526,1.4655419127142,9.94676522938537,7.96325053102424e-23,5.81601690569449e-21,40.968860572788,1.41304382847602,1.41
"IL10RA","IL10RA",0.49753751562869,-0.27053991041209,12.4790539326791,1.44956648580927e-34,4.00589657227021e-32,67.6096315885881,1.41180175091769,1.41
"CSF2RB","CSF2RB",0.492761888125647,-0.37781135317679,12.773337180852,4.45388392668266e-36,1.51803210501101e-33,71.0472416773359,1.40713611316374,1.41
"MS4A6A","MS4A6A",0.491705362070656,0.624038012458379,9.68329172868444,9.71265033367996e-22,6.36614420909472e-20,38.509267976519,1.40610600514371,1.41
"EVI2A","EVI2A",0.489689380353432,-0.257738884722494,12.3249461902405,8.73542115554752e-34,2.12665907893984e-31,65.837104105182,1.40414252409839,1.4
"HLA-C","HLA-C",0.489269464425121,2.2864506079105,10.5131372956622,3.00752169185489e-25,2.92875326659202e-23,46.4591565010589,1.40373388887446,1.4
"HLA-DPB1","HLA-DPB1",0.489159653116246,0.510112685274995,12.4111987368366,3.20421146017865e-34,7.99099077568945e-32,66.8268181765504,1.40362704717542,1.4
"WARS","WARS",0.488069305914873,1.12972597053007,12.0526184885546,1.99243504115248e-32,4.42883658604002e-30,62.7516764842786,1.40256662720203,1.4
"HLA-E","HLA-E",0.487673011552681,2.17790247210739,13.5603356217544,2.87113904978039e-40,1.54512614652655e-37,80.5760631209949,1.40218140863696,1.4
"C1QA","C1QA",0.48355558360535,0.331233520761945,9.07129663454536,2.56521106892377e-19,1.36610849894508e-17,33.0306472523473,1.39818531104142,1.4
"CD3D","CD3D",0.483286563343922,-0.198935452540979,9.48182705974984,6.31358418146834e-21,3.96051523039962e-19,36.6693945977134,1.39792461484446,1.4
"IRF8","IRF8",0.479876995620451,0.333488815653241,11.4622880877612,1.42302346830302e-29,2.23852537898437e-27,56.2711000105755,1.39462475538096,1.39
