"","Row","d.value","stdev","rawp","q.value","R.fold","logFC","FC_round"
"ARG2",9942,5.16524919223676,0.0638043899680762,9.7799511002445e-07,4.79201866926915e-06,1.25663491796033,0.329565573743765,1.26
"MYH8",3734,4.3014807828713,0.0765774016317151,1.76039119804401e-05,5.78195316338685e-05,1.25648741525166,0.32939622152104,1.26
"DPYS",8437,3.13153866195313,0.10478224443576,0.00186308068459658,0.00357261387055969,1.25538480288904,0.328129649536804,1.26
"HPN",8520,5.51778501913947,0.0594529003458848,0,0,1.25531403715032,0.328048322872914,1.26
"F11",6673,6.48514708353709,0.0503797392689357,0,0,1.25415878892777,0.326720019189297,1.25
"SLC5A12",4563,3.26760201748172,0.0999855453887619,0.00118826405867971,0.00243550557062979,1.25415266081864,0.326712969831329,1.25
"BEX1",8661,7.22964130058911,0.0451721414670029,0,0,1.25403566530934,0.326578379585898,1.25
"BPHL",7845,5.26852899004169,0.0619345570472215,0,0,1.25379719673969,0.326304009288677,1.25
"FTCD",10133,4.22439924514069,0.0771938352655255,2.34718826405868e-05,7.55394642075793e-05,1.25361780839994,0.3260975794252,1.25
"SLC22A11",3831,3.89535815132414,0.0833318928395547,0.00011638141809291,0.000318688409581076,1.25232374381555,0.324607568037829,1.25
"GPX3",4996,3.62165416237244,0.0890319670551736,0.000317848410757946,0.00076005146408543,1.25044620576642,0.322442994069578,1.25
"TLN2",3793,6.72598490514046,0.0478004451844607,0,0,1.24963353299449,0.321505072769677,1.25
"KLK1",2236,4.07524989724826,0.0784741949306121,5.47677261613692e-05,0.000164236094166792,1.24815919676993,0.319801954827617,1.25
"KCNJ1",683,4.66681717754933,0.0679039698203009,1.9559902200489e-06,7.50455445723816e-06,1.24564710993625,0.31689541278117,1.25
"ACPP",8258,6.35459351462659,0.04974275780224,0,0,1.24495621707208,0.316095006129756,1.24
"HIBCH",3754,5.17369120351041,0.0606487168270918,9.7799511002445e-07,4.79201866926915e-06,1.24295815915062,0.31377773275252,1.24
"A1CF",8118,4.54778210259358,0.0688555190498672,3.9119804400978e-06,1.44871538131228e-05,1.24240875151197,0.313139897199778,1.24
"RAB17",6274,7.94721608231667,0.0392583832005608,0,0,1.24142306373255,0.311994854337247,1.24
"ALB",8670,2.4707545894022,0.12534095596761,0.0144762836185819,0.0206399786417693,1.23943854676336,0.309686742197031,1.24
"MACROD1",7483,6.33156639825146,0.0488486379504955,0,0,1.23909636831432,0.309288394647708,1.24
"NEDD4L",8807,7.23578892597407,0.0427029501699633,0,0,1.23883971056924,0.308989533946243,1.24
"PLPPR1",5236,4.7578798825526,0.0644710759979937,1.9559902200489e-06,7.50455445723816e-06,1.23691437656637,0.306745635497375,1.24
"PTH1R",10176,3.71210635992688,0.0825727745268267,0.000231784841075795,0.000582139852869612,1.23672001546481,0.306518921477842,1.24
"PNP",9556,5.67631598853567,0.053469750752386,0,0,1.23414439610583,0.303511201098785,1.23
"PC",1299,5.16030115501433,0.0584629818546864,9.7799511002445e-07,4.79201866926915e-06,1.23258453301235,0.30168659279032,1.23
"MAOA",1587,5.21241712732949,0.0578515557267188,9.7799511002445e-07,4.79201866926915e-06,1.23246479746626,0.301546439912605,1.23
"COLEC11",7189,4.71785941252872,0.0634718011131996,1.9559902200489e-06,7.50455445723816e-06,1.23067603475441,0.29945103431206,1.23
"WFDC1",4951,6.96339374001667,0.0424296474340934,0,0,1.22727141536015,0.29545434133368,1.23
"HADH",9944,5.74523108974761,0.0513596733780068,0,0,1.22694722239092,0.295073192250607,1.23
"HAGH",3801,5.99257918262618,0.0490435111238211,0,0,1.22594743665275,0.293897123803505,1.23
"AMT",6939,7.27276614688409,0.0401929449564014,0,0,1.22460280216966,0.292313889422492,1.22
"PEBP1",7843,6.86451753295579,0.0423616191574321,0,0,1.22331172358775,0.290792077430589,1.22
"SDC1",7514,5.12206993930712,0.0567587549726496,9.7799511002445e-07,4.79201866926915e-06,1.22325256900352,0.290722312637907,1.22
"CD9",2763,4.70616609028773,0.0615862076843835,1.9559902200489e-06,7.50455445723816e-06,1.22250038729685,0.289834922233665,1.22
"ECHS1",2771,4.69283974630464,0.0616267489769382,1.9559902200489e-06,7.50455445723816e-06,1.22196626501647,0.289204457034515,1.22
"PPP1R1A",1503,3.99795299557121,0.0723274070939416,7.62836185819071e-05,0.00022034620383757,1.22192994339568,0.289161573853122,1.22
"PCSK1N",2713,4.78116463980293,0.0604698265595327,1.9559902200489e-06,7.50455445723816e-06,1.22189151043046,0.289116196521454,1.22
"PEPD",3408,4.07339545185685,0.0709310636730461,5.67237163814181e-05,0.000169465378426199,1.22173405181795,0.288930272161153,1.22
"MICU1",9695,6.75548803568755,0.0425367739649834,0,0,1.22040218463965,0.287356667597192,1.22
"CES2",9414,4.52125829318404,0.0633299278680842,3.9119804400978e-06,1.44871538131228e-05,1.21953482948149,0.286330961580323,1.22
"CA4",7718,5.13873686970743,0.055674377130677,9.7799511002445e-07,4.79201866926915e-06,1.21933620701948,0.286095974459406,1.22
